TERM,PART_OF_TERM,COLLEGE,DEPT,COURSE,SECT,CRN,TYPE,MIN CREDITS,MAX CREDITS,TITLE,CROSS-LIST,MAX SIZE,ACTUAL ENROLLMENT,WAITLIST MAX,WAITLIST ACTUAL,START DATE,END DATE,MON-IND,TUE-IND,WED-IND,THU-IND,FRI-IND,SAT-IND,SUN-IND,BEGIN TIME,END TIME,BUILDING,ROOM,MODALITY CODE,MODALITY TEXT,CROSS_LIST_MAXIMUM_ENROLLMENT,CROSS_LIST_ENROLLMENT,file_name,term_code,academic_year,period_code,period_name,fixes,fix_notes,instructor_id,instructor_name_banner,instructor source,buffer_1,buffer_2,buffer_3,buffer_4,buffer_5,buffer_6,course_subject,course_number,instructor_cnt,capstone_cnt,lec_only_course_list,sum_term_crse_crn_hours_lec,spare_col_3,spare_col_4,spare_col_5,spare_col_6,instructor_name,ins_college,ins_dept,ins_role,ins_wrkld,ins_wrkld_target,ins_spare1,ins_spare2,instructor_name_notes,ins_url_vcu,ins_url_linkedin,ins_url_google_scholar,ins_note1,ins_note2,crse,crse_level,crse_url,crse_note,crse_spare1,crse_spare2,time_code,time_id,room_code,room_id,meeting_code,meeting_id,mtgs_per_wk,mtg_length,shared_mtgs_cnt,mtgs_per_crn,combined_count,combined_sections,sum_term,sum_term_crse,sum_term_crse_crn,sum_term_crse_crn_mtg_students,sum_term_crse_crn_hours,wrkld_sample_type,sum_term_crse_wrkld_sample,sum_term_crse_wrkld_sample_lec,wrkld_sample_note,wrkld_a_type,sum_term_crse_wrkld_a,sum_term_crse_wrkld_a_lec,wrkld_a_note,wrkld_b_type,sum_term_crse_wrkld_b,sum_term_crse_wrkld_b_lec,wrkld_b_note,wrkld_c_type,sum_term_crse_wrkld_c,sum_term_crse_wrkld_c_lec,wrkld_c_note
202110,Full Term,Engineering,CMSC,CMSC210,C91,40552,LEC,3.0,3.0,COMPUTERS AND PROGRAMMING,,200,70,0,0,2020-08-17 00:00:00,2020-11-24 00:00:00,.,.,.,.,.,.,.,0,0,ONLNE,.,RONL,Online-asynchronous instruct,.,.,VCU-SOC-202110-FA2020.xlsx,202110,AY20-21,FA2020,Fall 2020,,,V70126868,Palesis,instructor_1,,,,,,,CMSC,210,1.0,0.0,CMSC210,210.0,0,0,0,0,"Palesis,John",Engineering,CMSC,Adjct,none,0.0,,,"Palesis,John",,,,,,CMSC210,UG,https://vcu-ssg.github.io/ssg-quarto-cmsc-courses/CMSC210.html,,,,.........,0,ONLNE.,0,ONLNE..........,0,0,0,1,1,,,0.0017391304347826088,1.0,1.0,70.0,210.0,LEC,1.0,1.0,BASE: [wrkld] ,LEC,0.0,0.0,,LEC,0.0,0.0,,LEC,0.0,0.0,
202110,Full Term,Engineering,CMSC,CMSC255,001,11726,LEC,4.0,4.0,INTRODUCTION TO PROGRAMMING,,27,30,0,0,2020-08-17 00:00:00,2020-11-24 00:00:00,.,.,.,.,.,.,.,0,0,ONLNE,.,ROND,Online-synchronous instruction,.,.,VCU-SOC-202110-FA2020.xlsx,202110,AY20-21,FA2020,Fall 2020,,,V00891498,Sparks,instructor_1,,,,,,,CMSC,255,1.0,0.0,"CMSC255,CMSC320,CMSC403",40.0,0,0,0,0,"Sparks,Claire",Engineering,CMSC,Term,NON,6.0,,,"Sparks,Claire",,,,,,CMSC255,UG,https://vcu-ssg.github.io/ssg-quarto-cmsc-courses/CMSC255.html,,,,.........,0,ONLNE.,0,ONLNE..........,0,0,0,1,3,,,0.0017391304347826088,0.07692307692307693,0.3333333333333333,30.0,40.0,LEC,1.0,1.0,BASE: [wrkld] ,LEC,0.0,0.0,,LEC,0.0,0.0,,LEC,0.0,0.0,
202110,Full Term,Engineering,CMSC,CMSC255,001,11726,LEC,4.0,4.0,INTRODUCTION TO PROGRAMMING,,27,30,0,0,2020-08-17 00:00:00,2020-11-24 00:00:00,.,T,.,.,.,.,.,1400.0,1515.0,ONLNE,.,ROND,Online-synchronous instruction,.,.,VCU-SOC-202110-FA2020.xlsx,202110,AY20-21,FA2020,Fall 2020,,,V00891498,Sparks,instructor_1,,,,,,,CMSC,255,1.0,0.0,"CMSC255,CMSC320,CMSC403",0.0,0,0,0,0,"Sparks,Claire",Engineering,CMSC,Term,NON,6.0,,,"Sparks,Claire",,,,,,CMSC255,UG,https://vcu-ssg.github.io/ssg-quarto-cmsc-courses/CMSC255.html,,,,.T.....1400.01515.0,1,ONLNE.,0,ONLNE..T.....1400.01515.0,1,1,115,1,3,,,0.0017391304347826088,0.07692307692307693,0.3333333333333333,30.0,40.0,LAB,0.3333333333333333,0.0,RULE: [wrkld]=0.33 for LAB (LAB: 1 mtg per wk rule),LEC,0.0,0.0,,LEC,0.0,0.0,,LEC,0.0,0.0,
202110,Full Term,Engineering,CMSC,CMSC255,001,11726,LEC,4.0,4.0,INTRODUCTION TO PROGRAMMING,,27,30,0,0,2020-08-17 00:00:00,2020-11-24 00:00:00,.,T,.,R,.,.,.,1100.0,1250.0,ONLNE,.,ROND,Online-synchronous instruction,.,.,VCU-SOC-202110-FA2020.xlsx,202110,AY20-21,FA2020,Fall 2020,,,V00891498,Sparks,instructor_1,,,,,,,CMSC,255,1.0,0.0,"CMSC255,CMSC320,CMSC403",40.0,0,0,0,0,"Sparks,Claire",Engineering,CMSC,Term,NON,6.0,,,"Sparks,Claire",,,,,,CMSC255,UG,https://vcu-ssg.github.io/ssg-quarto-cmsc-courses/CMSC255.html,,,,.T.R...1100.01250.0,2,ONLNE.,0,ONLNE..T.R...1100.01250.0,2,2,150,1,3,,,0.0017391304347826088,0.07692307692307693,0.3333333333333333,30.0,40.0,LEC,1.0,1.0,BASE: [wrkld] ,LEC,0.0,0.0,,LEC,0.0,0.0,,LEC,0.0,0.0,
202110,Full Term,Engineering,CMSC,CMSC255,002,20097,LEC,4.0,4.0,INTRODUCTION TO PROGRAMMING,,30,34,0,0,2020-08-17 00:00:00,2020-11-24 00:00:00,.,.,.,.,.,.,.,0,0,ONLNE,.,ROND,Online-synchronous instruction,.,.,VCU-SOC-202110-FA2020.xlsx,202110,AY20-21,FA2020,Fall 2020,,,V00891498,Sparks,instructor_1,,,,,,,CMSC,255,1.0,0.0,"CMSC255,CMSC320,CMSC403",45.333333333333336,0,0,0,0,"Sparks,Claire",Engineering,CMSC,Term,NON,6.0,,,"Sparks,Claire",,,,,,CMSC255,UG,https://vcu-ssg.github.io/ssg-quarto-cmsc-courses/CMSC255.html,,,,.........,0,ONLNE.,0,ONLNE..........,0,0,0,1,3,,,0.0017391304347826088,0.07692307692307693,0.3333333333333333,34.0,45.333333333333336,LEC,1.0,1.0,BASE: [wrkld] ,LEC,0.0,0.0,,LEC,0.0,0.0,,LEC,0.0,0.0,
202110,Full Term,Engineering,CMSC,CMSC255,002,20097,LEC,4.0,4.0,INTRODUCTION TO PROGRAMMING,,30,34,0,0,2020-08-17 00:00:00,2020-11-24 00:00:00,.,.,.,R,.,.,.,1400.0,1515.0,ONLNE,.,ROND,Online-synchronous instruction,.,.,VCU-SOC-202110-FA2020.xlsx,202110,AY20-21,FA2020,Fall 2020,,,V00891498,Sparks,instructor_1,,,,,,,CMSC,255,1.0,0.0,"CMSC255,CMSC320,CMSC403",0.0,0,0,0,0,"Sparks,Claire",Engineering,CMSC,Term,NON,6.0,,,"Sparks,Claire",,,,,,CMSC255,UG,https://vcu-ssg.github.io/ssg-quarto-cmsc-courses/CMSC255.html,,,,...R...1400.01515.0,3,ONLNE.,0,ONLNE....R...1400.01515.0,3,1,115,1,3,,,0.0017391304347826088,0.07692307692307693,0.3333333333333333,34.0,45.333333333333336,LAB,0.3333333333333333,0.0,RULE: [wrkld]=0.33 for LAB (LAB: 1 mtg per wk rule),LEC,0.0,0.0,,LEC,0.0,0.0,,LEC,0.0,0.0,
202110,Full Term,Engineering,CMSC,CMSC255,002,20097,LEC,4.0,4.0,INTRODUCTION TO PROGRAMMING,,30,34,0,0,2020-08-17 00:00:00,2020-11-24 00:00:00,M,.,W,.,F,.,.,1300.0,1450.0,ONLNE,.,ROND,Online-synchronous instruction,.,.,VCU-SOC-202110-FA2020.xlsx,202110,AY20-21,FA2020,Fall 2020,,,V00891498,Sparks,instructor_1,,,,,,,CMSC,255,1.0,0.0,"CMSC255,CMSC320,CMSC403",45.333333333333336,0,0,0,0,"Sparks,Claire",Engineering,CMSC,Term,NON,6.0,,,"Sparks,Claire",,,,,,CMSC255,UG,https://vcu-ssg.github.io/ssg-quarto-cmsc-courses/CMSC255.html,,,,M.W.F..1300.01450.0,4,ONLNE.,0,ONLNE.M.W.F..1300.01450.0,4,3,150,1,3,,,0.0017391304347826088,0.07692307692307693,0.3333333333333333,34.0,45.333333333333336,LEC,1.0,1.0,BASE: [wrkld] ,LEC,0.0,0.0,,LEC,0.0,0.0,,LEC,0.0,0.0,
202110,Full Term,Engineering,CMSC,CMSC255,003,37572,LEC,4.0,4.0,INTRODUCTION TO PROGRAMMING,,23,23,0,0,2020-08-17 00:00:00,2020-11-24 00:00:00,.,.,.,.,.,.,.,0,0,ONLNE,.,RONC,Hybrid-asynchronous instruct,.,.,VCU-SOC-202110-FA2020.xlsx,202110,AY20-21,FA2020,Fall 2020,,,V70236319,Budwell,instructor_1,,,,,,,CMSC,255,1.0,0.0,"CMSC255,CMSC302,CMSC451",30.666666666666668,0,0,0,0,"Budwell,Caroline",Engineering,CMSC,Term,NON,6.0,,,"Budwell,Caroline",,,,,,CMSC255,UG,https://vcu-ssg.github.io/ssg-quarto-cmsc-courses/CMSC255.html,,,,.........,0,ONLNE.,0,ONLNE..........,0,0,0,1,3,,,0.0017391304347826088,0.07692307692307693,0.3333333333333333,23.0,30.666666666666668,LEC,1.0,1.0,BASE: [wrkld] ,LEC,0.0,0.0,,LEC,0.0,0.0,,LEC,0.0,0.0,
202110,Full Term,Engineering,CMSC,CMSC255,003,37572,LEC,4.0,4.0,INTRODUCTION TO PROGRAMMING,,23,23,0,0,2020-08-17 00:00:00,2020-11-24 00:00:00,.,T,.,.,.,.,.,1100.0,1215.0,EGRB2,E3229,RONC,Hybrid-asynchronous instruct,.,.,VCU-SOC-202110-FA2020.xlsx,202110,AY20-21,FA2020,Fall 2020,,,V70236319,Budwell,instructor_1,,,,,,,CMSC,255,1.0,0.0,"CMSC255,CMSC302,CMSC451",0.0,0,0,0,0,"Budwell,Caroline",Engineering,CMSC,Term,NON,6.0,,,"Budwell,Caroline",,,,,,CMSC255,UG,https://vcu-ssg.github.io/ssg-quarto-cmsc-courses/CMSC255.html,,,,.T.....1100.01215.0,5,EGRB2E3229,1,EGRB2E3229.T.....1100.01215.0,5,1,115,1,3,,,0.0017391304347826088,0.07692307692307693,0.3333333333333333,23.0,30.666666666666668,LAB,0.3333333333333333,0.0,RULE: [wrkld]=0.33 for LAB (LAB: 1 mtg per wk rule),LEC,0.0,0.0,,LEC,0.0,0.0,,LEC,0.0,0.0,
202110,Full Term,Engineering,CMSC,CMSC255,003,37572,LEC,4.0,4.0,INTRODUCTION TO PROGRAMMING,,23,23,0,0,2020-08-17 00:00:00,2020-11-24 00:00:00,M,.,W,.,F,.,.,900.0,1050.0,EGRB2,E4221,RONC,Hybrid-asynchronous instruct,.,.,VCU-SOC-202110-FA2020.xlsx,202110,AY20-21,FA2020,Fall 2020,,,V70236319,Budwell,instructor_1,,,,,,,CMSC,255,1.0,0.0,"CMSC255,CMSC302,CMSC451",30.666666666666668,0,0,0,0,"Budwell,Caroline",Engineering,CMSC,Term,NON,6.0,,,"Budwell,Caroline",,,,,,CMSC255,UG,https://vcu-ssg.github.io/ssg-quarto-cmsc-courses/CMSC255.html,,,,M.W.F..900.01050.0,6,EGRB2E4221,2,EGRB2E4221M.W.F..900.01050.0,6,3,150,1,3,,,0.0017391304347826088,0.07692307692307693,0.3333333333333333,23.0,30.666666666666668,LEC,1.0,1.0,BASE: [wrkld] ,LEC,0.0,0.0,,LEC,0.0,0.0,,LEC,0.0,0.0,
